headerdatestamp|headeridentifier|headersetSpec|metadata.mods.accessCondition#text|metadata.mods.accessCondition@type|metadata.mods.identifier.0#text|metadata.mods.identifier.0@type|metadata.mods.identifier.1|metadata.mods.language.languageTerm#text|metadata.mods.language.languageTerm@authority|metadata.mods.language.languageTerm@type|metadata.mods.location.holdingSimple.copyInformationshelfLocator|metadata.mods.locationphysicalLocation|metadata.mods.name.role.roleTerm#text|metadata.mods.name.role.roleTerm@authority|metadata.mods.name.role.roleTerm@type|metadata.mods.name.role.roleTerm@valueURI|metadata.mods.namenamePart|metadata.mods.originInfo.dateCreated.0|metadata.mods.originInfo.dateCreated.1#text|metadata.mods.originInfo.dateCreated.1@encoding|metadata.mods.originInfo.dateCreated.1@keyDate|metadata.mods.originInfo.dateCreated.1@point|metadata.mods.originInfo.dateCreated.1@qualifier|metadata.mods.originInfo.dateCreated.2#text|metadata.mods.originInfo.dateCreated.2@encoding|metadata.mods.originInfo.dateCreated.2@keyDate|metadata.mods.originInfo.dateCreated.2@point|metadata.mods.physicalDescription.form#text|metadata.mods.physicalDescription.form@authority|metadata.mods.physicalDescription.form@valueURI|metadata.mods.recordInfo.languageOfCataloging.languageTerm#text|metadata.mods.recordInfo.languageOfCataloging.languageTerm@authority|metadata.mods.recordInfo.languageOfCataloging.languageTerm@type|metadata.mods.recordInforecordContentSource|metadata.mods.recordInforecordIdentifier|metadata.mods.recordInforecordOrigin|metadata.mods.relatedItem.0.titleInfotitle|metadata.mods.relatedItem.0@displayLabel|metadata.mods.relatedItem.0@type|metadata.mods.relatedItem.1.identifier#text|metadata.mods.relatedItem.1.identifier@type|metadata.mods.relatedItem.1.titleInfotitle|metadata.mods.relatedItem.1@displayLabel|metadata.mods.relatedItem.1@type|metadata.mods.subject.0topic|metadata.mods.subject.1.name@authority|metadata.mods.subject.1.name@valueURI|metadata.mods.subject.1.namenamePart|metadata.mods.subject.1@authority|metadata.mods.subject.1@valueURI|metadata.mods.subject.1topic|metadata.mods.subject.2.cartographicscoordinates|metadata.mods.subject.2.geographic#text|metadata.mods.subject.2.geographic@authority|metadata.mods.subject.2.geographic@valueURI|metadata.mods.titleInfotitle|metadata.mods@version|metadata.mods@xmlns|metadata.mods@xmlns:xlink|metadata.mods@xmlns:xs|metadata.mods@xmlns:xsi|metadata.mods@xsi:schemaLocation|metadata.modsabstract|metadata.modsnote|metadata.modstypeOfResource
2018-05-03T23:13:30Z|oai:utklib:ruskin_204|collections_ruskin|The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.|use and reproduction|0012_000173_000205_0001|local|https://digital.lib.utk.edu/collections/islandora/object/ruskin%3A204|zxx|iso639-2b|code|    |University of Tennessee, Knoxville. Special Collections|Creator|marcrelator|text|http://id.loc.gov/vocabulary/relators/cre|unknown|02/26/09|1909-02-26|edtf|yes|    |    |    |    |    |    |photographs|aat|http://vocab.getty.edu/aat/300046300|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|record_spc_3773|Created and edited in general conformance to MODS Guidelines (Version 3.5).|Special Collections Online|Project|host|MS.0023|local|Ruskin Cooperative Association Collection|Collection|host|Collective settlements--Tennessee--History|naf|http://id.loc.gov/authorities/names/nr93003802|Ruskin Co-operative Association|    |    |    |    |    |    |    |View of Ruskin, Tennessee|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|View of the Ruskin Colony in Ruskin, Tennessee. Several buildings are identified on the image, including the boys' dormitory (a), two other dormitories (b and c), the store (z), the laundry (y), and Geta's Room (x).|    |still image
2018-05-03T23:13:30Z|oai:utklib:ruskin_205|collections_ruskin|The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.|use and reproduction|0012_000173_000206_0001|local|https://digital.lib.utk.edu/collections/islandora/object/ruskin%3A205|zxx|iso639-2b|code|    |University of Tennessee, Knoxville. Special Collections|Creator|marcrelator|text|http://id.loc.gov/vocabulary/relators/cre|unknown|02/26/09|1909-02-26|edtf|yes|    |    |    |    |    |    |photographs|aat|http://vocab.getty.edu/aat/300046300|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|record_spc_3774|Created and edited in general conformance to MODS Guidelines (Version 3.5).|Special Collections Online|Project|host|MS.0023|local|Ruskin Cooperative Association Collection|Collection|host|Ruskin Co-operative Association--History|    |    |    |    |    |Collective settlements--Tennessee--History|    |    |    |    |College Building at Ruskin, Tennessee|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|"According to the author of this postcard, the long room upstairs is Chapel Hall. The author lives at the point marked ""z,"" while Gila rooms at the annex on the other side of the house. The cliff with the arrow pointing to it isn't the highest the author has climbed."|    |still image
2018-05-03T23:13:20Z|oai:utklib:ruskin_101|collections_ruskin|The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.|use and reproduction|0012_000296_000200|local|https://digital.lib.utk.edu/collections/islandora/object/ruskin%3A101|zxx|iso639-2b|code|Box 1, Folder 1|University of Tennessee, Knoxville. Special Collections|Creator|marcrelator|text|http://id.loc.gov/vocabulary/relators/cre|unknown|undated|1912|edtf|yes|start|inferred|1965|edtf|yes|end|photographs|aat|http://vocab.getty.edu/aat/300046300|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|record_spc_4708|Created and edited in general conformance to MODS Guidelines (Version 3.5).|Special Collections Online|Project|host|MS.0335|local|Ruskin Cave College Collection|Collection|host|Education, Higher--Tennessee--History|    |    |    |lcsh|http://id.loc.gov/authorities/subjects/sh85028356|College students|"36.14905, -87.35666 | Ruskin (Tenn.) | Coordinates: 36.16089, -87.51918"|Dickson County (Tenn.)|naf|http://id.loc.gov/authorities/names/n82227642|Earl Miller's House (Another view, same group.)|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Group of men and women on the porch of a house.|Dates inferred from dates of archival collection.|still image
2018-05-03T23:13:20Z|oai:utklib:ruskin_102|collections_ruskin|The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.|use and reproduction|0012_000296_000201|local|https://digital.lib.utk.edu/collections/islandora/object/ruskin%3A102|zxx|iso639-2b|code|Box 1, Folder 1|University of Tennessee, Knoxville. Special Collections|Creator|marcrelator|text|http://id.loc.gov/vocabulary/relators/cre|unknown|undated|1912|edtf|yes|start|inferred|1965|edtf|yes|end|photographs|aat|http://vocab.getty.edu/aat/300046300|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|record_spc_4709|Created and edited in general conformance to MODS Guidelines (Version 3.5).|Special Collections Online|Project|host|MS.0335|local|Ruskin Cave College Collection|Collection|host|Education, Higher--Tennessee--History|    |    |    |lcsh|http://id.loc.gov/authorities/subjects/sh85028356|College students|"36.14905, -87.35666 | Ruskin (Tenn.) | Coordinates: 36.16089, -87.51918"|Dickson County (Tenn.)|naf|http://id.loc.gov/authorities/names/n82227642|Front View of Large Building|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Front View of a nice building and well kept lawn.  There is a large bell on the lawn.|Dates inferred from dates of archival collection.|still image
2018-05-03T23:13:20Z|oai:utklib:ruskin_103|collections_ruskin|The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.|use and reproduction|0012_000296_000202|local|https://digital.lib.utk.edu/collections/islandora/object/ruskin%3A103|zxx|iso639-2b|code|Box 1, Folder 1|University of Tennessee, Knoxville. Special Collections|Creator|marcrelator|text|http://id.loc.gov/vocabulary/relators/cre|unknown|undated|1912|edtf|yes|start|inferred|1965|edtf|yes|end|photographs|aat|http://vocab.getty.edu/aat/300046300|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|record_spc_4710|Created and edited in general conformance to MODS Guidelines (Version 3.5).|Special Collections Online|Project|host|MS.0335|local|Ruskin Cave College Collection|Collection|host|Education, Higher--Tennessee--History|    |    |    |lcsh|http://id.loc.gov/authorities/subjects/sh85028356|College students|"36.14905, -87.35666 | Ruskin (Tenn.) | Coordinates: 36.16089, -87.51918"|Dickson County (Tenn.)|naf|http://id.loc.gov/authorities/names/n82227642|Group of Women on a Porch|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Left to right, Verna Skelley, Zoe Cowen, Marguerite Kirk, Clina Storey, Virgina Essig, Nouvella Morris, Marye D. Stokes, Mrs. Revis Higgs|Dates inferred from dates of archival collection.|still image
2018-05-03T23:13:20Z|oai:utklib:ruskin_104|collections_ruskin|The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.|use and reproduction|0012_000296_000203|local|https://digital.lib.utk.edu/collections/islandora/object/ruskin%3A104|zxx|iso639-2b|code|Box 1, Folder 1|University of Tennessee, Knoxville. Special Collections|Creator|marcrelator|text|http://id.loc.gov/vocabulary/relators/cre|unknown|undated|1912|edtf|yes|start|inferred|1965|edtf|yes|end|photographs|aat|http://vocab.getty.edu/aat/300046300|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|record_spc_4711|Created and edited in general conformance to MODS Guidelines (Version 3.5).|Special Collections Online|Project|host|MS.0335|local|Ruskin Cave College Collection|Collection|host|Education, Higher--Tennessee--History|    |    |    |lcsh|http://id.loc.gov/authorities/subjects/sh85028356|College students|"36.14905, -87.35666 | Ruskin (Tenn.) | Coordinates: 36.16089, -87.51918"|Dickson County (Tenn.)|naf|http://id.loc.gov/authorities/names/n82227642|R.C.C. quartet, 1914-|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Left to Right-, Prof. Beene, Guy Stephenson, Martin Zook, Joe Green|Dates inferred from dates of archival collection.|still image
2018-05-03T23:13:20Z|oai:utklib:ruskin_105|collections_ruskin|The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.|use and reproduction|0012_000296_000204|local|https://digital.lib.utk.edu/collections/islandora/object/ruskin%3A105|zxx|iso639-2b|code|Box 1, Folder 1|University of Tennessee, Knoxville. Special Collections|Creator|marcrelator|text|http://id.loc.gov/vocabulary/relators/cre|unknown|undated|1912|edtf|yes|start|inferred|1965|edtf|yes|end|photographs|aat|http://vocab.getty.edu/aat/300046300|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|record_spc_4712|Created and edited in general conformance to MODS Guidelines (Version 3.5).|Special Collections Online|Project|host|MS.0335|local|Ruskin Cave College Collection|Collection|host|Education, Higher--Tennessee--History|    |    |    |lcsh|http://id.loc.gov/authorities/subjects/sh85028356|College students|"36.14905, -87.35666 | Ruskin (Tenn.) | Coordinates: 36.16089, -87.51918"|Dickson County (Tenn.)|naf|http://id.loc.gov/authorities/names/n82227642|Zoe Cowen, Lee Rogers|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Zoe Cowen, Lee Rogers sitting outside together|Dates inferred from dates of archival collection.|still image
2018-05-03T23:13:20Z|oai:utklib:ruskin_106|collections_ruskin|The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.|use and reproduction|0012_000296_000205|local|https://digital.lib.utk.edu/collections/islandora/object/ruskin%3A106|zxx|iso639-2b|code|Box 1, Folder 1|University of Tennessee, Knoxville. Special Collections|Creator|marcrelator|text|http://id.loc.gov/vocabulary/relators/cre|unknown|undated|1912|edtf|yes|start|inferred|1965|edtf|yes|end|photographs|aat|http://vocab.getty.edu/aat/300046300|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|record_spc_4713|Created and edited in general conformance to MODS Guidelines (Version 3.5).|Special Collections Online|Project|host|MS.0335|local|Ruskin Cave College Collection|Collection|host|Education, Higher--Tennessee--History|    |    |    |lcsh|http://id.loc.gov/authorities/subjects/sh85028356|College students|"36.14905, -87.35666 | Ruskin (Tenn.) | Coordinates: 36.16089, -87.51918"|Dickson County (Tenn.)|naf|http://id.loc.gov/authorities/names/n82227642|Ladies in a Tree|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|no label on photo.  Two ladies in a large tree.|Dates inferred from dates of archival collection.|still image
2018-05-03T23:13:20Z|oai:utklib:ruskin_107|collections_ruskin|The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.|use and reproduction|0012_000296_000206|local|https://digital.lib.utk.edu/collections/islandora/object/ruskin%3A107|zxx|iso639-2b|code|Box 1, Folder 1|University of Tennessee, Knoxville. Special Collections|Creator|marcrelator|text|http://id.loc.gov/vocabulary/relators/cre|unknown|undated|1912|edtf|yes|start|inferred|1965|edtf|yes|end|photographs|aat|http://vocab.getty.edu/aat/300046300|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|record_spc_4714|Created and edited in general conformance to MODS Guidelines (Version 3.5).|Special Collections Online|Project|host|MS.0335|local|Ruskin Cave College Collection|Collection|host|Education, Higher--Tennessee--History|    |    |    |lcsh|http://id.loc.gov/authorities/subjects/sh85028356|College students|"36.14905, -87.35666 | Ruskin (Tenn.) | Coordinates: 36.16089, -87.51918"|Dickson County (Tenn.)|naf|http://id.loc.gov/authorities/names/n82227642|Three people outside|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|No label on photo.  Could possibly be Zoe Cowen and Lee Rogers with another gentleman.|Dates inferred from dates of archival collection.|still image
2018-05-03T23:13:20Z|oai:utklib:ruskin_108|collections_ruskin|The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.|use and reproduction|0012_000296_000207|local|https://digital.lib.utk.edu/collections/islandora/object/ruskin%3A108|zxx|iso639-2b|code|Box 1, Folder 1|University of Tennessee, Knoxville. Special Collections|Creator|marcrelator|text|http://id.loc.gov/vocabulary/relators/cre|unknown|undated|1912|edtf|yes|start|inferred|1965|edtf|yes|end|photographs|aat|http://vocab.getty.edu/aat/300046300|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|record_spc_4715|Created and edited in general conformance to MODS Guidelines (Version 3.5).|Special Collections Online|Project|host|MS.0335|local|Ruskin Cave College Collection|Collection|host|Education, Higher--Tennessee--History|    |    |    |lcsh|http://id.loc.gov/authorities/subjects/sh85028356|College students|"36.14905, -87.35666 | Ruskin (Tenn.) | Coordinates: 36.16089, -87.51918"|Dickson County (Tenn.)|naf|http://id.loc.gov/authorities/names/n82227642|Annie Johnson, Alma Wilkes|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|R.C.C. '14  Annie Johnson, Alma Wilkes|Dates inferred from dates of archival collection.|still image
